Accel_X,Accel_Y,Accel_Z,Body_Temp_F,Heart_rate,label,Predicted_Activity,Status
-0.06,0.01,9.98,91.51,36,resting,resting,abnormal
-0.07,0.03,9.97,91.4,0,resting,resting,abnormal
-0.06,0.01,9.98,91.51,0,resting,resting,abnormal
-0.08,0.02,9.98,91.51,131,resting,resting,abnormal
-0.07,0.01,10.01,91.4,122,resting,resting,abnormal
-0.09,0.01,9.97,91.51,122,resting,resting,abnormal
-0.06,0.02,10.0,91.4,114,resting,resting,abnormal
-0.07,0.02,9.97,91.4,99,resting,resting,abnormal
-0.07,0.02,9.97,91.4,99,resting,resting,abnormal
-0.05,0.02,9.99,91.4,88,resting,resting,abnormal
-0.07,0.02,9.94,91.4,82,resting,resting,abnormal
-0.05,0.02,9.99,91.4,82,resting,resting,abnormal
-0.06,0.02,9.96,91.4,75,resting,resting,abnormal
-0.07,0.01,9.98,91.4,68,resting,resting,abnormal
-0.06,0.02,9.98,91.4,68,resting,resting,abnormal
-0.07,0.02,9.96,91.4,63,resting,resting,abnormal
-0.07,0.01,9.98,91.29,59,resting,resting,abnormal
-0.08,0.02,10.0,91.4,59,resting,resting,abnormal
-0.08,0.02,9.97,91.4,57,resting,resting,abnormal
-0.06,0.01,10.0,91.4,57,resting,resting,abnormal
-0.07,0.01,9.94,91.4,53,resting,resting,abnormal
-0.07,0.03,9.99,91.29,52,resting,resting,abnormal
-0.06,0.01,9.95,91.4,52,resting,resting,abnormal
-0.07,0.01,9.97,91.4,53,resting,resting,abnormal
-0.07,0.02,9.97,91.4,53,resting,resting,abnormal
-0.05,0.01,9.98,91.29,53,resting,resting,abnormal
-0.08,0.01,9.98,91.29,0,resting,resting,abnormal
-0.08,0.02,9.96,91.29,90,resting,resting,abnormal
-0.06,0.02,9.96,91.4,90,resting,resting,abnormal
-0.08,0.02,9.97,91.4,83,resting,resting,abnormal
-0.06,0.01,9.96,91.4,83,resting,resting,abnormal
-0.07,0.02,9.97,91.4,77,resting,resting,abnormal
-0.06,0.02,9.95,91.4,77,resting,resting,abnormal
-0.08,0.01,9.99,91.4,77,resting,resting,abnormal
-0.07,0.01,9.97,91.4,65,resting,resting,abnormal
-0.06,0.02,9.97,91.29,61,resting,resting,abnormal
-0.07,0.03,9.96,91.29,61,resting,resting,abnormal
-0.07,0.01,9.98,91.4,60,resting,resting,abnormal
-0.08,0.01,9.97,91.4,60,resting,resting,abnormal
-0.07,0.02,9.95,91.4,60,resting,resting,abnormal
-0.08,0.02,9.98,91.29,52,resting,resting,abnormal
-0.07,0.02,9.98,91.29,52,resting,resting,abnormal
-0.06,0.01,9.99,91.29,52,resting,resting,abnormal
-0.07,0.03,9.97,91.29,0,resting,resting,abnormal
-0.09,0.02,10.0,91.29,0,resting,resting,abnormal
-0.07,0.01,9.95,91.29,55,resting,resting,abnormal
-0.06,0.01,9.98,91.29,56,resting,resting,abnormal
-0.07,0.02,9.99,91.29,56,resting,resting,abnormal
-0.07,0.01,9.97,91.29,60,resting,resting,abnormal
-0.08,0.03,9.97,91.29,60,resting,resting,abnormal
-0.07,0.01,9.96,91.29,60,resting,resting,abnormal
-0.05,0.02,10.01,91.29,54,resting,resting,abnormal
-0.06,0.01,9.96,91.29,54,resting,resting,abnormal
-0.08,0.01,9.99,91.29,54,resting,resting,abnormal
-0.07,0.01,9.96,91.29,54,resting,resting,abnormal
-0.07,0.01,10.01,91.29,0,resting,resting,abnormal
-0.07,0.02,9.95,91.29,0,resting,resting,abnormal
-0.07,0.01,9.98,91.29,0,resting,resting,abnormal
-0.06,0.02,9.96,91.29,56,resting,resting,abnormal
-0.09,0.02,9.97,91.29,61,resting,resting,abnormal
-0.07,0.02,9.99,91.29,66,resting,resting,abnormal
-0.07,0.0,9.97,91.29,69,resting,resting,abnormal
-0.06,0.02,9.97,91.29,69,resting,resting,abnormal
-0.07,0.02,9.96,91.29,69,resting,resting,abnormal
-0.07,0.01,10.01,91.29,0,resting,resting,abnormal
-0.07,0.01,9.93,91.29,0,resting,resting,abnormal
-0.07,0.02,9.98,91.29,99,resting,resting,abnormal
-0.08,0.02,9.93,91.29,99,resting,resting,abnormal
-0.07,0.02,9.97,91.29,103,resting,resting,abnormal
-0.08,0.02,9.96,91.18,107,resting,resting,abnormal
-0.07,0.02,9.97,91.18,109,resting,resting,abnormal
-0.07,0.03,9.99,91.18,98,resting,resting,abnormal
-0.08,0.01,9.97,91.18,98,resting,resting,abnormal
-0.07,0.02,9.99,91.18,93,resting,resting,abnormal
-0.07,0.02,9.97,91.18,93,resting,resting,abnormal
-0.07,0.03,9.97,91.18,93,resting,resting,abnormal
-0.06,0.02,9.98,91.18,74,resting,resting,abnormal
-0.08,0.02,9.97,91.18,68,resting,resting,abnormal
-0.08,0.01,9.95,91.18,68,resting,resting,abnormal
-0.05,0.02,10.01,91.18,64,resting,resting,abnormal
-0.06,0.01,9.94,91.18,61,resting,resting,abnormal
-0.06,0.02,10.01,91.06,61,resting,resting,abnormal
-0.07,0.02,9.96,91.18,56,resting,resting,abnormal
-0.07,0.02,9.98,91.18,56,resting,resting,abnormal
-0.06,0.03,9.98,91.18,54,resting,resting,abnormal
-0.07,0.01,9.97,91.18,50,resting,resting,abnormal
-0.07,0.01,9.99,91.18,50,resting,resting,abnormal
-0.05,0.02,9.99,91.18,47,resting,resting,abnormal
-0.06,0.01,9.97,91.18,47,resting,resting,abnormal
-0.08,0.02,10.0,91.18,47,resting,resting,abnormal
-0.06,0.0,9.99,91.18,0,resting,resting,abnormal
-0.07,0.01,9.99,91.18,0,resting,resting,abnormal
-0.06,0.01,9.99,91.18,66,resting,resting,abnormal
-0.06,0.02,9.99,91.06,66,resting,resting,abnormal
-0.06,0.03,10.0,91.06,64,resting,resting,abnormal
-0.07,0.01,9.98,91.06,62,resting,resting,abnormal
-0.05,0.02,9.97,91.06,62,resting,resting,abnormal
-0.06,0.01,9.99,91.18,62,resting,resting,abnormal
-0.08,0.02,9.98,91.18,62,resting,resting,abnormal
-0.07,0.01,9.96,91.06,58,resting,resting,abnormal
-0.05,0.02,10.0,91.06,57,resting,resting,abnormal
-0.09,0.03,10.0,91.06,57,resting,resting,abnormal
-0.06,0.01,10.0,91.06,56,resting,resting,abnormal
-0.07,0.02,10.01,91.06,56,resting,resting,abnormal
-0.08,0.01,9.98,91.06,56,resting,resting,abnormal
-0.07,0.02,9.97,91.06,0,resting,resting,abnormal
-0.06,0.03,9.98,91.06,0,resting,resting,abnormal
-0.06,0.03,9.96,91.06,0,resting,resting,abnormal
-0.06,0.02,9.98,91.06,49,resting,resting,abnormal
-0.06,0.02,9.97,91.06,51,resting,resting,abnormal
-0.07,0.01,9.97,91.06,51,resting,resting,abnormal
-0.06,0.01,9.96,91.06,52,resting,resting,abnormal
-0.06,0.02,9.96,91.06,52,resting,resting,abnormal
-0.08,0.02,9.96,91.06,52,resting,resting,abnormal
-0.06,0.02,9.97,91.06,48,resting,resting,abnormal
-0.07,0.01,9.98,91.06,48,resting,resting,abnormal
-0.07,0.02,9.95,90.95,48,resting,resting,abnormal
-0.07,0.02,9.96,91.06,44,resting,resting,abnormal
-0.08,0.01,9.96,91.06,44,resting,resting,abnormal
-0.04,0.02,9.96,91.06,44,resting,resting,abnormal
-0.07,0.01,9.98,91.06,0,resting,resting,abnormal
-0.07,0.02,9.94,91.06,0,resting,resting,abnormal
-0.07,0.02,9.98,90.95,85,resting,resting,abnormal
-0.06,0.01,9.96,90.95,80,resting,resting,abnormal
-0.06,0.03,9.97,90.95,80,resting,resting,abnormal
-0.1,0.02,9.9,90.95,75,resting,resting,abnormal
-0.07,0.02,9.99,90.95,75,resting,resting,abnormal
-0.05,0.03,9.97,90.95,75,resting,resting,abnormal
-0.07,0.02,9.97,90.95,62,resting,resting,abnormal
-0.07,0.01,9.96,90.95,62,resting,resting,abnormal
-0.07,0.02,9.97,90.95,62,resting,resting,abnormal
-0.06,0.02,9.98,90.95,55,resting,resting,abnormal
-0.05,0.02,9.99,90.84,52,resting,resting,abnormal
-0.06,0.02,9.96,90.95,52,resting,resting,abnormal
-0.08,0.03,10.0,90.84,50,resting,resting,abnormal
-0.08,0.02,9.94,90.95,50,resting,resting,abnormal
-0.08,0.01,9.98,90.95,51,resting,resting,abnormal
-0.08,0.01,9.97,90.95,49,resting,resting,abnormal
-0.08,0.01,9.99,90.95,49,resting,resting,abnormal
-0.06,0.02,9.97,90.95,48,resting,resting,abnormal
-0.07,0.0,9.96,90.95,48,resting,resting,abnormal
-0.06,0.01,10.0,90.95,49,resting,resting,abnormal
-0.07,0.01,9.96,90.95,49,resting,resting,abnormal
-0.07,0.02,9.99,90.95,54,resting,resting,abnormal
-0.08,0.0,9.97,90.95,60,resting,resting,abnormal
-0.07,0.01,9.97,90.84,60,resting,resting,abnormal
-0.06,0.0,9.98,90.95,61,resting,resting,abnormal
-0.06,0.03,9.99,90.84,62,resting,resting,abnormal
-0.07,0.01,9.96,90.84,62,resting,resting,abnormal
-0.06,0.02,10.0,90.84,59,resting,resting,abnormal
-0.07,0.03,9.97,90.84,55,resting,resting,abnormal
-0.05,0.01,9.97,90.84,56,resting,resting,abnormal
-0.07,0.02,9.98,90.84,56,resting,resting,abnormal
-0.08,0.01,9.97,90.84,56,resting,resting,abnormal
-0.08,0.01,9.97,90.84,56,resting,resting,abnormal
-0.06,0.02,9.95,90.84,55,resting,resting,abnormal
-0.08,0.04,9.97,90.84,56,resting,resting,abnormal
-0.06,0.02,9.96,90.84,56,resting,resting,abnormal
-0.05,0.01,9.96,90.84,56,resting,resting,abnormal
-0.08,0.0,9.97,90.84,56,resting,resting,abnormal
-0.07,0.02,9.96,90.84,56,resting,resting,abnormal
-0.05,0.02,9.97,90.84,0,resting,resting,abnormal
-0.08,0.0,9.95,90.84,0,resting,resting,abnormal
-0.06,0.03,9.97,90.84,0,resting,resting,abnormal
-0.09,0.01,9.94,90.84,0,resting,resting,abnormal
-0.07,0.01,9.96,90.84,193,resting,resting,abnormal
-0.06,0.02,9.94,90.84,193,resting,resting,abnormal
-0.07,0.01,9.96,90.84,193,resting,resting,abnormal
-0.08,0.02,9.97,90.84,193,resting,resting,abnormal
-0.06,0.03,9.97,90.84,0,resting,resting,abnormal
-0.07,0.02,9.95,90.84,0,resting,resting,abnormal
-0.06,0.01,9.98,90.84,69,resting,resting,abnormal
-0.07,0.02,9.94,90.84,68,resting,resting,abnormal
-0.07,0.01,9.92,90.84,68,resting,resting,abnormal
-0.06,0.01,9.96,90.84,70,resting,resting,abnormal
-0.08,0.02,9.94,90.84,74,resting,resting,abnormal
-0.07,0.01,9.96,90.84,74,resting,resting,abnormal
-0.06,0.01,9.96,90.84,74,resting,resting,abnormal
-0.07,0.01,9.96,90.84,0,resting,resting,abnormal
-0.06,0.01,9.95,90.84,231,resting,resting,abnormal
-0.06,0.02,9.96,90.84,204,resting,resting,abnormal
-0.06,0.01,9.95,90.72,204,resting,resting,abnormal
-0.07,0.01,9.96,90.72,169,resting,resting,abnormal
-0.07,0.01,9.97,90.72,132,resting,resting,abnormal
-0.06,0.02,9.99,90.84,132,resting,resting,abnormal
-0.06,0.02,9.97,90.84,110,resting,resting,abnormal
-0.07,0.01,9.98,90.84,94,resting,resting,abnormal
-0.08,0.02,9.94,90.72,94,resting,resting,abnormal
-0.07,0.02,9.98,90.72,83,resting,resting,abnormal
-0.07,0.03,9.95,90.72,75,resting,resting,abnormal
-0.08,0.02,9.98,90.84,75,resting,resting,abnormal
-0.07,0.01,9.97,90.72,69,resting,resting,abnormal
-0.07,0.02,9.95,90.84,65,resting,resting,abnormal
-0.07,0.02,9.97,90.72,65,resting,resting,abnormal
-0.08,0.01,9.97,90.72,65,resting,resting,abnormal
-0.07,0.02,9.96,90.72,0,resting,resting,abnormal
-0.08,0.03,9.97,90.72,0,resting,resting,abnormal
-0.07,0.02,9.96,90.72,86,resting,resting,abnormal
-0.07,0.01,9.96,90.72,86,resting,resting,abnormal
-0.07,0.02,9.97,90.84,86,resting,resting,abnormal
-0.08,0.02,9.97,90.72,0,resting,resting,abnormal
-0.07,0.03,9.96,90.72,0,resting,resting,abnormal
-0.05,0.02,9.99,90.72,0,resting,resting,abnormal
-0.08,0.01,9.99,90.72,0,resting,resting,abnormal
-0.05,0.02,9.99,90.72,50,resting,resting,abnormal
-0.06,0.02,9.95,90.72,50,resting,resting,abnormal
-0.06,0.02,9.99,90.72,50,resting,resting,abnormal
-0.07,0.03,9.96,90.72,50,resting,resting,abnormal
-0.06,0.02,9.97,90.72,50,resting,resting,abnormal
-0.06,0.01,9.98,90.72,49,resting,resting,abnormal
-0.08,0.01,9.96,90.72,50,resting,resting,abnormal
-0.08,0.01,10.02,90.72,50,resting,resting,abnormal
-0.04,0.03,9.97,90.61,50,resting,resting,abnormal
-0.06,0.01,9.99,90.72,50,resting,resting,abnormal
-0.08,0.01,9.96,90.61,50,resting,resting,abnormal
-0.07,0.01,9.99,90.61,0,resting,resting,abnormal
-0.06,0.03,9.98,90.61,0,resting,resting,abnormal
-0.06,0.01,9.96,90.61,0,resting,resting,abnormal
-0.06,0.02,9.96,90.72,0,resting,resting,abnormal
-0.08,0.0,9.98,90.61,0,resting,resting,abnormal
-0.06,0.02,9.97,90.61,0,resting,resting,abnormal
-0.06,0.01,10.01,90.61,0,resting,resting,abnormal
-0.07,0.01,9.95,90.72,27,resting,resting,abnormal
-0.07,0.02,9.97,90.72,29,resting,resting,abnormal
-0.07,0.01,9.96,90.61,29,resting,resting,abnormal
-0.07,0.03,9.95,90.72,30,resting,resting,abnormal
-0.06,0.01,9.96,90.72,32,resting,resting,abnormal
-0.06,0.02,9.96,90.61,35,resting,resting,abnormal
-0.06,0.02,9.95,90.61,44,resting,resting,abnormal
-0.06,0.02,9.98,90.72,44,resting,resting,abnormal
-0.06,0.02,9.96,90.61,44,resting,resting,abnormal
-0.07,0.01,9.98,90.61,45,resting,resting,abnormal
-0.08,0.02,9.98,90.61,49,resting,resting,abnormal
-0.07,0.01,10.0,90.61,49,resting,resting,abnormal
-0.07,0.01,9.99,90.61,49,resting,resting,abnormal
-0.07,0.01,9.99,90.61,49,resting,resting,abnormal
-0.06,0.02,9.97,90.61,48,resting,resting,abnormal
-0.07,0.01,9.98,90.61,48,resting,resting,abnormal
-0.06,0.02,9.98,90.61,49,resting,resting,abnormal
-0.08,0.01,9.97,90.61,49,resting,resting,abnormal
-0.07,0.02,9.99,90.61,48,resting,resting,abnormal
-0.05,0.02,10.01,90.61,48,resting,resting,abnormal
-0.07,0.02,9.97,90.61,47,resting,resting,abnormal
-0.08,0.02,10.0,90.61,47,resting,resting,abnormal
-0.07,0.01,9.98,90.61,47,resting,resting,abnormal
-0.06,0.03,9.98,90.61,46,resting,resting,abnormal
-0.07,0.01,9.96,90.61,46,resting,resting,abnormal
-0.06,0.02,9.98,90.5,46,resting,resting,abnormal
-0.08,0.01,9.99,90.61,40,resting,resting,abnormal
-0.07,0.02,9.96,90.5,40,resting,resting,abnormal
-0.07,0.02,9.96,90.61,38,resting,resting,abnormal
-0.05,0.01,9.98,90.61,38,resting,resting,abnormal
-0.08,0.02,9.97,90.61,38,resting,resting,abnormal
-0.06,0.02,9.93,90.5,37,resting,resting,abnormal
-0.06,0.01,9.96,90.5,37,resting,resting,abnormal
-0.06,0.02,9.94,90.5,36,resting,resting,abnormal
-0.07,0.03,9.97,90.5,36,resting,resting,abnormal
-0.07,0.01,9.99,90.5,36,resting,resting,abnormal
-0.06,0.03,9.98,90.61,0,resting,resting,abnormal
-0.07,0.02,9.99,90.61,0,resting,resting,abnormal
-0.07,0.02,9.96,90.61,0,resting,resting,abnormal
-0.07,0.02,9.97,90.5,44,resting,resting,abnormal
-0.07,0.02,9.94,90.61,44,resting,resting,abnormal
-0.05,0.02,9.99,90.61,44,resting,resting,abnormal
-0.07,0.01,9.96,90.5,41,resting,resting,abnormal
-0.06,0.01,9.99,90.5,41,resting,resting,abnormal
-0.06,0.0,9.97,90.61,41,resting,resting,abnormal
-0.07,0.02,9.97,90.5,41,resting,resting,abnormal
-0.07,0.03,9.96,90.5,41,resting,resting,abnormal
-0.06,0.02,9.98,90.5,0,resting,resting,abnormal
-0.06,0.02,10.01,90.5,0,resting,resting,abnormal
-0.07,0.01,9.97,90.5,0,resting,resting,abnormal
-0.08,0.01,9.96,90.5,0,resting,resting,abnormal
-0.06,0.01,9.98,90.5,0,resting,resting,abnormal
-0.07,0.03,9.96,90.5,26,resting,resting,abnormal
-0.07,0.02,10.0,90.5,27,resting,resting,abnormal
-0.05,0.02,9.98,90.5,27,resting,resting,abnormal
-0.06,0.01,9.98,90.5,27,resting,resting,abnormal
-0.07,0.03,9.97,90.5,27,resting,resting,abnormal
-0.07,0.01,9.98,90.5,0,resting,resting,abnormal
-0.07,0.01,9.99,90.5,0,resting,resting,abnormal
-0.07,0.01,9.98,90.5,0,resting,resting,abnormal
-0.08,0.01,9.98,90.5,0,resting,resting,abnormal
-0.07,0.02,9.99,90.5,0,resting,resting,abnormal
-0.09,0.02,9.98,90.5,0,resting,resting,abnormal
-0.07,0.02,9.99,90.39,64,resting,resting,abnormal
-0.07,0.01,9.97,90.5,64,resting,resting,abnormal
-0.07,0.02,9.96,90.5,62,resting,resting,abnormal
-0.06,0.02,9.99,90.5,62,resting,resting,abnormal
-0.07,0.01,9.96,90.5,62,resting,resting,abnormal
-0.08,0.0,9.96,90.39,53,resting,resting,abnormal
-0.06,0.02,9.98,90.39,53,resting,resting,abnormal
-0.05,0.02,9.98,90.5,53,resting,resting,abnormal
-0.08,0.01,9.99,90.5,49,resting,resting,abnormal
-0.07,0.01,9.96,90.39,48,resting,resting,abnormal
-0.07,0.01,9.98,90.39,48,resting,resting,abnormal
-0.06,0.01,9.97,90.39,47,resting,resting,abnormal
-0.05,0.01,10.01,90.39,47,resting,resting,abnormal
-0.06,0.01,9.96,90.5,47,resting,resting,abnormal
-0.06,0.01,9.98,90.39,46,resting,resting,abnormal
-0.06,0.02,9.97,90.39,46,resting,resting,abnormal
-0.07,0.02,9.98,90.5,46,resting,resting,abnormal
-0.07,0.02,9.96,90.39,41,resting,resting,abnormal
-0.05,0.02,9.99,90.39,41,resting,resting,abnormal
-0.06,0.02,10.0,90.39,41,resting,resting,abnormal
-0.06,0.02,9.96,90.39,41,resting,resting,abnormal
-0.08,0.01,9.99,90.39,37,resting,resting,abnormal
-0.07,0.01,9.99,90.39,36,resting,resting,abnormal
-0.07,0.02,9.97,90.39,36,resting,resting,abnormal
-0.07,0.01,9.96,90.39,36,resting,resting,abnormal
-0.07,0.01,9.97,90.39,36,resting,resting,abnormal
-0.07,0.02,10.0,90.39,0,resting,resting,abnormal
-0.06,0.01,9.98,90.39,0,resting,resting,abnormal
-0.06,0.02,9.98,90.39,0,resting,resting,abnormal
-0.07,0.01,9.97,90.39,0,resting,resting,abnormal
-0.06,0.02,9.97,90.39,60,resting,resting,abnormal
-0.08,0.01,9.97,90.39,62,resting,resting,abnormal
-0.06,0.01,9.99,90.39,63,resting,resting,abnormal
-0.05,0.01,9.98,90.39,63,resting,resting,abnormal
-0.08,0.01,9.99,90.39,60,resting,resting,abnormal
-0.06,0.02,9.98,90.39,60,resting,resting,abnormal
-0.06,0.01,9.99,90.39,60,resting,resting,abnormal
-0.06,0.02,9.99,90.27,0,resting,resting,abnormal
-0.06,0.03,9.96,90.27,0,resting,resting,abnormal
-0.06,0.02,9.99,90.39,0,resting,resting,abnormal
-0.06,0.0,9.96,90.27,0,resting,resting,abnormal
-0.09,0.01,10.0,90.39,24,resting,resting,abnormal
-0.07,0.01,9.96,90.39,24,resting,resting,abnormal
-0.06,0.01,9.97,90.27,24,resting,resting,abnormal
-0.07,0.02,9.97,90.39,24,resting,resting,abnormal
-0.06,0.03,9.99,90.27,24,resting,resting,abnormal
-0.07,0.02,9.98,90.39,24,resting,resting,abnormal
-0.07,0.02,9.96,90.39,24,resting,resting,abnormal
-0.07,0.02,9.98,90.39,0,resting,resting,abnormal
-0.07,0.02,9.97,90.39,0,resting,resting,abnormal
-0.06,0.02,9.98,90.39,0,resting,resting,abnormal
-0.06,0.02,10.0,90.39,0,resting,resting,abnormal
-0.06,0.02,9.95,90.39,0,resting,resting,abnormal
-0.08,0.01,9.97,90.27,0,resting,resting,abnormal
-0.07,0.02,9.96,90.39,0,resting,resting,abnormal
-0.08,0.01,9.98,90.27,0,resting,resting,abnormal
-0.07,0.01,9.96,90.27,0,resting,resting,abnormal
-0.05,0.04,10.02,90.39,25,resting,resting,abnormal
-0.07,0.01,9.96,90.27,25,resting,resting,abnormal
-0.08,0.03,9.98,90.27,25,resting,resting,abnormal
-0.06,0.02,9.99,90.27,0,resting,resting,abnormal
-0.06,0.02,9.98,90.27,152,resting,resting,abnormal
-0.09,0.01,9.96,90.27,152,resting,resting,abnormal
-0.08,0.01,9.93,90.27,128,resting,resting,abnormal
-0.06,0.03,10.01,90.27,128,resting,resting,abnormal
-0.08,0.02,9.96,90.39,109,resting,resting,abnormal
-0.07,0.02,9.98,90.27,98,resting,resting,abnormal
-0.07,0.01,9.96,90.27,98,resting,resting,abnormal
-0.06,0.02,9.97,90.27,88,resting,resting,abnormal
-0.07,0.01,9.99,90.27,79,resting,resting,abnormal
-0.06,0.02,9.99,90.27,74,resting,resting,abnormal
-0.07,0.01,9.98,90.27,74,resting,resting,abnormal
-0.06,0.01,9.99,90.27,69,resting,resting,abnormal
-0.09,0.01,9.95,90.27,63,resting,resting,abnormal
-0.07,0.01,9.98,90.27,63,resting,resting,abnormal
-0.08,0.02,9.96,90.27,58,resting,resting,abnormal
-0.07,0.01,9.97,90.27,54,resting,resting,abnormal
-0.06,0.03,10.01,90.27,54,resting,resting,abnormal
-0.06,0.02,9.97,90.27,54,resting,resting,abnormal
-0.07,0.01,9.98,90.27,55,resting,resting,abnormal
-0.08,0.01,9.99,90.27,55,resting,resting,abnormal
-0.06,0.01,10.24,90.27,54,resting,resting,abnormal
-0.07,0.02,10.07,90.27,55,resting,resting,abnormal
-0.07,0.02,10.0,90.27,55,resting,resting,abnormal
-0.06,0.02,9.97,90.16,55,resting,resting,abnormal
-0.07,0.01,9.97,90.27,54,resting,resting,abnormal
-0.06,0.02,9.96,90.16,54,resting,resting,abnormal
-0.07,0.01,9.99,90.16,53,resting,resting,abnormal
-0.08,0.02,9.95,90.16,54,resting,resting,abnormal
-0.07,0.01,9.96,90.27,54,resting,resting,abnormal
-0.07,0.02,9.95,90.16,54,resting,resting,abnormal
-0.07,0.02,9.96,90.16,54,resting,resting,abnormal
-0.07,0.02,9.98,90.16,54,resting,resting,abnormal
-0.06,0.02,9.96,90.16,55,resting,resting,abnormal
-0.06,0.02,9.97,90.16,54,resting,resting,abnormal
-0.06,0.01,9.97,90.16,54,resting,resting,abnormal
-0.08,0.01,9.95,90.27,55,resting,resting,abnormal
-0.07,0.02,9.99,90.16,54,resting,resting,abnormal
-0.08,0.01,9.95,90.16,54,resting,resting,abnormal
-0.07,0.01,9.97,90.16,54,resting,resting,abnormal
-0.08,0.03,9.99,90.16,54,resting,resting,abnormal
-0.07,0.01,9.95,90.16,54,resting,resting,abnormal
-0.06,0.01,10.0,90.16,55,resting,resting,abnormal
-0.08,0.02,9.91,90.16,54,resting,resting,abnormal
-0.05,0.01,9.96,90.16,54,resting,resting,abnormal
-0.06,0.01,9.97,90.16,54,resting,resting,abnormal
-0.08,0.01,9.96,90.16,55,resting,resting,abnormal
-0.07,0.01,9.98,90.16,55,resting,resting,abnormal
-0.07,0.0,9.97,90.16,54,resting,resting,abnormal
-0.08,0.0,9.97,90.16,54,resting,resting,abnormal
-0.06,0.02,9.99,90.16,54,resting,resting,abnormal
-0.07,0.02,9.94,90.16,53,resting,resting,abnormal
-0.08,0.01,9.97,90.16,54,resting,resting,abnormal
-0.07,0.02,9.99,90.16,55,resting,resting,abnormal
