Accel_X,Accel_Y,Accel_Z,Body_Temp_F,Heart_rate,label
2.85,-2.21,6.2,75.54,211,running
2.21,-0.64,5.55,75.54,204,running
2.5,-1.4,6.95,75.54,183,running
2.56,-3.82,4.92,75.54,160,running
3.43,-2.19,4.59,75.54,145,running
3.4,0.24,6.25,75.65,142,running
0.84,-2.55,4.21,75.65,146,running
5,-0.43,4.12,75.65,142,running
1.04,-0.57,6.81,75.65,157,running
1.52,-1.45,6.53,75.65,163,running
3.54,-2.62,9.08,75.65,168,running
3.95,0.36,9.18,75.65,149,running
3.57,0.51,8.38,75.65,159,running
2.74,-0.68,6.11,75.65,155,running
3.4,-1.44,5.34,75.65,141,running
2.69,-2.11,6.84,75.65,132,running
4.49,-1.12,7.26,75.65,141,running
0.28,-2.44,6.23,75.65,143,running
2.39,-3.73,6.55,75.65,136,running
2.3,-1.76,6.09,75.65,136,running
3.54,-1.29,6.94,75.65,109,running
7.3,-1.05,5.57,75.65,98,running
3.36,-3.94,4.56,75.65,98,running
3.56,-2.14,10.89,75.65,93,running
0.08,-0.89,8.14,75.65,89,running
3.69,-0.84,13.84,75.65,89,running
4.22,-1.37,11.52,75.65,89,running
4.14,-6.69,9.64,75.65,74,running
-0.26,-0.96,9.92,75.65,67,running
0.95,-1.9,6.47,75.65,67,running
2.54,-3.11,6.57,75.65,64,running
0.98,-2.92,5.46,75.65,64,running
0.33,-3.01,7.37,75.65,64,running
-0.85,-3.77,8.69,75.65,0,running
0.62,-2.95,12.47,75.65,174,running
2.38,-2.75,11.07,75.65,176,running
2.37,-1.98,7.82,75.65,174,running
3.67,-4.07,8.25,75.65,169,running
0.57,-2.43,6.6,75.65,179,running
4.16,-0.29,9.91,75.65,176,running
6.04,-0.14,11.38,75.65,157,running
3.01,-1.83,13.66,75.65,150,running
1.67,-1.62,9.87,75.65,147,running
1.6,-1.85,10.61,75.65,152,running
3.12,-1.62,7.67,75.65,141,running
4.47,-1.71,9.2,75.65,157,running
3.63,-2.43,8.64,75.65,156,running
0.23,-3.58,8.35,75.65,156,running
-2.82,-6.21,16.6,75.65,156,running
3.58,-1.31,8.5,75.65,0,running
2.62,-2.87,7.63,75.65,164,running
4.88,0.55,9.96,75.65,160,running
1.3,-1.02,12.4,75.65,161,running
0.64,-0.58,7.02,75.65,169,running
1.75,-1.74,8.96,75.65,164,running
1.99,-1.56,7.86,75.65,151,running
3.98,-2.92,5.93,75.65,141,running
3.22,-0.74,12.65,75.65,146,running
-0.98,-2.38,9.63,75.65,143,running
1.19,-1.48,11.79,75.76,134,running
3.18,-1.57,12.39,75.76,137,running
2.95,-1.75,11.99,75.76,137,running
2.15,-1.99,11.66,75.65,145,running
2.4,-0.6,7.15,75.76,157,running
3.94,0.34,8.84,75.65,173,running
1.56,-0.82,7.07,75.65,189,running
1.47,-3.55,7,75.65,189,running
0.3,-1.97,12.61,75.65,157,running
3.36,-0.71,6.64,75.65,155,running
0.55,-0.1,8.73,75.76,146,running
0.98,-4.07,9.52,75.65,149,running
1.94,-1.08,9.19,75.76,170,running
2.27,-1.71,14.73,75.76,191,running
2.01,-1.12,7.13,75.65,187,running
1.3,-4.34,10.21,75.65,187,running
-0.03,-2.79,10.37,75.65,187,running
2.63,-3.67,13.38,75.76,133,running
3.79,-3.06,11.41,75.76,114,running
2.73,-3.37,10.65,75.65,109,running
1.11,-1.08,10.85,75.76,104,running
-1.06,-1.41,9.57,75.76,96,running
3.88,-2.57,12.95,75.76,93,running
3.04,-1.02,7.3,75.65,95,running
0.43,-3.3,10.28,75.76,95,running
-0.08,-1.56,10.43,75.76,95,running
4.06,-2.79,7.95,75.76,89,running
4.76,-2.14,13.31,75.76,89,running
2.82,-2.8,6.29,75.76,89,running
1.37,-3.55,11.61,75.76,0,running
2.26,-3.57,8.8,75.76,161,running
2.9,-0.76,9.78,75.87,161,running
5.23,-1.14,9.64,75.87,138,running
4.38,-1.52,8.15,75.76,127,running
2.6,-3.04,8.14,75.76,134,running
1.23,-1.91,10.71,75.76,140,running
2.72,-0.38,9.62,75.76,137,running
2.09,-1.13,10.16,75.76,161,running
2.02,-1.18,7.78,75.76,154,running
3.19,-1.9,9.17,75.76,148,running
0.6,-4.02,10.18,75.76,141,running
-0.02,-3.3,9.13,75.76,137,running
0.04,-2.66,9.14,75.76,138,running
3.35,-2,9.91,75.76,138,running
2.13,-2.79,8.59,75.76,138,running
2.2,-5.04,9.65,75.76,0,running
1.92,-3.27,10.47,75.76,0,running
0.98,-2.73,8.6,75.76,173,running
7.23,-1.58,6.42,75.76,180,running
1.14,-0.58,9.77,75.76,180,running
0.78,-1.68,9.34,75.76,148,running
1.38,-2.58,9.95,75.76,138,running
1.69,-1.71,9.98,75.76,115,running
0.71,-1.66,9.77,75.76,104,running
2.86,-1.17,9.11,75.76,98,running
1.01,-1.2,9.44,75.76,97,running
2.5,-0.78,10.14,75.76,94,running
1.01,-1.74,7.59,75.76,90,running
0.95,-1.12,7.43,75.76,106,running
2.02,-0.55,6.39,75.76,138,running
1.48,-0.26,7.41,75.76,157,running
1.3,-0.97,8.05,75.87,142,running
2.09,-1.38,8.45,75.76,127,running
0.87,-1.88,8.31,75.76,120,running
1.43,0.39,10.14,75.76,120,running
1.24,0.15,10.23,75.76,120,running
2.21,-1.62,9.71,75.76,120,running
1.67,-0.87,9.59,75.76,0,running
0.86,0.03,8.49,75.76,0,running
1.68,-0.7,8.76,75.76,0,running
4.35,-1.43,9.59,75.76,0,running
2.43,-4.46,9.5,75.76,0,running
-1.03,-2.31,7.36,75.76,155,running
1.63,1.07,7.72,75.87,159,running
4.07,-0.3,7.54,75.87,157,running
2.51,-2.55,8.72,75.76,158,running
0.13,-1.5,7.89,75.87,163,running
2.25,-2.56,7.84,75.76,156,running
1.2,-2.82,7.56,75.76,144,running
2.07,-2.41,9.69,75.76,147,running
0.48,-3.05,10.76,75.76,137,running
2.39,-1.33,9.23,75.76,140,running
1.11,-1.61,9.77,75.76,132,running
3.22,-0.74,9.66,75.76,142,running
2.96,-2.05,10.45,75.76,144,running
3.05,2.68,8.98,75.76,152,running
3.41,0.8,9.3,75.76,142,running
2.58,0.11,10.48,75.87,150,running
3.9,1.26,10.18,75.76,144,running
2.66,-0.67,10.13,75.87,141,running
0.29,-0.26,8.45,75.87,141,running
2.94,-1.08,9.13,75.87,141,running
2.72,-0.23,9.18,75.87,0,running
5.63,-3.55,11.34,75.87,136,running
2.99,-4.39,9,75.87,150,running
-0.22,-3.13,9.77,75.76,160,running
1.24,-1.91,8.37,75.87,177,running
3.46,-2.56,9.6,75.87,177,running
3.75,-3.77,6.06,75.87,177,running
0.25,-4.21,9.44,75.87,0,running
2.09,-3,9.98,75.87,230,running
-0.29,-2.85,9.82,75.87,204,running
1.91,-2.74,9.62,75.87,180,running
0.85,-2.04,10.3,75.87,162,running
0.44,-2.27,9.41,75.87,159,running
2.13,-4.65,12.25,75.87,154,running
-0.32,-2.08,8.99,75.87,160,running
0.51,-1.49,7.13,75.87,188,running
2.56,-3.09,10,75.87,159,running
0.81,-1.53,9.05,75.87,144,running
2.74,-4.29,11.79,75.87,133,running
2.38,-4.11,8.54,75.87,124,running
-0.79,-1.11,9.67,75.87,115,running
0.66,-0.59,10.58,75.87,115,running
3.33,-1.27,7.95,75.87,113,running
5.07,-2.12,12.93,75.87,136,running
0.3,-1.92,9.14,75.87,136,running
1.26,-0.95,7.67,75.87,136,running
2.34,0.59,9.77,75.87,0,running
1.11,-0.49,7.6,75.87,194,running
3.47,-4.1,10.86,75.87,191,running
-1.11,-2.95,13.37,75.87,186,running
-0.14,-0.94,8.51,75.87,188,running
-0.13,0.23,10.09,75.87,198,running
3.4,0.82,11.94,75.99,196,running
1.8,-3.89,7.27,75.87,167,running
0.64,-5.32,9.71,75.99,151,running
0.8,-0.21,10.48,75.87,150,running
2.37,-3.01,9.16,75.87,150,running
4.23,-1.12,13.06,75.87,150,running
0.96,-3.24,9.34,75.87,0,running
1.15,-4.47,8.09,75.99,238,running
0.47,-2.13,7.93,75.87,203,running
3.55,-0.43,8.53,75.87,192,running
3.08,-0.88,10.19,75.76,192,running
4.3,-2.98,9.57,75.87,192,running
1.7,-4.23,9.6,75.87,0,running
1.75,-5.09,11.52,75.87,0,running
-1.09,-2.78,10.2,75.87,0,running
0.76,-2.8,9.52,75.87,70,running
3.19,-2.01,9.09,75.87,72,running
2.49,-3.37,8.96,75.87,81,running
-0.81,-3.99,10.51,75.87,88,running
-0.55,-3.58,9.29,75.87,88,running
-0.12,-1.83,9.82,75.99,88,running
3.45,-4.05,8.73,75.87,0,running
2.98,-1.61,11.31,75.87,0,running
4.23,-2.4,8.62,75.87,63,running
2.4,-4.24,8.95,75.87,66,running
0.88,-2.7,11.25,75.87,68,running
-0.6,-1.22,10,75.87,77,running
1.82,-1.4,9.18,75.87,104,running
3.27,-0.49,11.14,75.87,131,running
3.1,-2.17,8.7,75.87,152,running
1.69,-2.66,11.83,75.87,152,running
2.15,-1.63,13.33,75.87,152,running
3.15,-0.94,7.88,75.87,0,running
2.46,-0.89,11.21,75.87,186,running
3.72,-3.13,9.99,75.87,190,running
0.42,-5.31,8.48,75.87,142,running
0.84,-3.12,11.64,75.87,126,running
-1.06,-0.97,10.59,75.87,121,running
2.58,-3.48,9.17,75.87,116,running
2.93,-1.73,12.6,75.87,115,running
1.86,-1.51,10.35,75.87,111,running
0.56,-3.91,9.3,75.99,107,running
0.4,-0.83,9.32,75.99,107,running
0.12,-2.24,10.33,75.87,107,running
1,-1.54,9.63,75.87,0,running
2.44,-2.68,10.04,75.87,232,running
1.89,-2.41,13.52,75.87,208,running
3.36,-1.64,8.52,75.87,206,running
0.8,-4.6,8.54,75.87,160,running
-0.73,-2.77,8.69,75.99,145,running
1.04,-1.87,9.21,75.99,145,running
1.88,-2.43,9.98,75.87,119,running
2.45,-1.55,9.67,75.87,109,running
2.22,-1.06,8.19,75.87,97,running
2.11,-2.72,10.3,75.87,92,running
-1.12,-3.31,8.71,75.87,93,running
1.62,-0.81,9.03,75.87,93,running
0.69,0.34,10.26,75.87,93,running
0.49,-1.51,10.01,75.87,0,running
2.75,-1.23,10.95,75.87,168,running
3.21,-2.25,8.24,75.87,163,running
1.55,-1.51,9.23,75.87,150,running
-0.71,-3.88,9.3,75.87,148,running
0,-1.77,12.7,75.99,155,running
0.78,-1.9,9.16,75.87,155,running
3.31,-1.07,9.78,75.99,125,running
1.77,-2.33,8.6,75.87,114,running
1.53,-2.59,9.86,75.87,114,running
-0.65,-4.34,8.32,75.87,104,running
0.91,-0.36,11.84,75.87,104,running
0.19,-2.29,10.77,75.99,104,running
0.92,-0.73,9.63,75.99,0,running
4.1,-1.84,10.27,75.87,0,running
2.13,-1.11,6.73,75.87,81,running
1.63,-3.17,10.07,75.87,81,running
0.21,-2.31,9.46,75.99,81,running
-0.8,-2.09,9.76,75.99,72,running
-1,-2.01,8.4,75.87,70,running
0.14,-1.11,12.26,75.99,75,running
3.16,-0.45,10.19,75.99,78,running
1.56,-1.41,9.08,75.99,78,running
3.89,-2.5,10.44,75.87,78,running
0.45,-2.41,8.74,75.99,0,running
-1.51,-2.58,9.57,75.87,175,running
1.97,-1.6,9.79,75.87,180,running
0.9,-2.32,10.14,75.87,163,running
1.78,-1.86,10.23,75.99,168,running
2.62,-2.39,10.1,75.99,139,running
3.29,0.76,12.78,75.99,131,running
2.52,-0.91,11.78,75.99,131,running
1.2,-3.24,8.24,75.87,123,running
1.89,-1.23,11.85,75.99,136,running
0.58,-1.26,8.74,75.99,168,running
1.24,-1.05,11.17,75.99,182,running
3.21,-0.65,10.49,75.99,200,running
1.06,1.45,8.85,75.99,199,running
1.76,0.82,8.38,75.99,200,running
1.7,-1.11,9.92,75.99,220,running
1.83,-0.71,9.01,75.87,188,running
1.56,-0.71,11.64,75.99,172,running
1.6,-0.98,9.99,75.99,158,running
1.91,0.22,10.05,75.99,160,running
1.92,-0.59,11.2,75.87,131,running
2.6,-0.15,9.08,75.87,120,running
1.93,0.13,9.32,75.87,110,running
0.56,-4.3,10.01,75.99,109,running
0.95,-2.16,8.37,75.87,118,running
1.33,-3.01,9.27,75.99,120,running
1,-1.23,9.99,75.87,143,running
3.62,-1.25,9.63,75.99,143,running
2.72,-2.21,11.88,75.99,112,running
3.31,-0.29,8.09,75.99,112,running
5.58,-2.13,11.83,75.99,99,running
-0.54,-4.38,9.13,75.87,99,running
1.13,-1.9,12.3,75.99,96,running
4.94,-0.07,10.87,75.87,93,running
1.41,-1.58,8.37,75.99,92,running
-0.02,-4.73,9.12,75.87,136,running
0.53,-1.9,10.38,75.99,144,running
0.6,-2.23,10.14,75.99,160,running
4.12,-1.46,9.17,75.99,173,running
6.39,-2.59,10.33,75.99,179,running
-1.4,-1.88,8.34,75.99,157,running
-1.41,-4.38,12.28,75.87,158,running
2.61,-0.87,5.99,75.87,158,running
3.8,-3.45,7.58,75.87,131,running
-0.13,-4.27,10.14,75.87,125,running
-0.36,-2.14,8.2,75.99,125,running
2,-2.32,11.85,75.99,125,running
1.29,-0.42,7.74,75.99,88,running
3.36,-4.07,10.66,75.99,77,running
0.12,-3.02,5.88,75.99,77,running
2.89,-1.04,9.37,75.99,77,running
2.62,-1.82,9.4,75.87,65,running
4.84,0.63,11.67,75.87,60,running
2.23,-3.57,7.94,75.99,60,running
1.18,-5.75,9.94,75.99,60,running
0.2,-8.13,13.18,75.99,60,running
3.86,-2.09,6.13,75.99,0,running
2.67,-1.77,9.5,75.99,0,running
-0.68,-6.44,8.7,75.99,106,running
2.73,-1.85,10.74,75.99,119,running
1.32,0.03,10.65,75.99,134,running
2.82,-1.95,10.71,75.99,134,running
1.46,-3.19,7.25,75.99,134,running
2.88,-2.09,11.41,75.99,0,running
1.02,-4.19,9.31,75.99,0,running
1.39,-2.33,11.07,75.99,121,running
0.36,-0.28,10.81,75.99,121,running
2.86,-1.58,11.45,75.99,121,running
2.54,0.38,11.17,75.87,125,running
0.68,-5.93,7.99,75.99,147,running
3.58,-1.85,11.74,75.87,153,running
-0.24,-2.8,8.96,75.87,185,running
4.39,-1.47,10.5,75.99,200,running
0.4,-0.27,11.03,75.99,200,running
0.53,-4.08,10.8,75.99,161,running
0.68,-1.4,8.94,75.87,147,running
2.19,-2.64,7.5,75.87,147,running
0.81,-1.1,10.33,75.87,130,running
0.29,-0.91,9.94,75.99,132,running
3.32,-3.12,8.98,75.99,153,running
1.3,-2.26,7.97,75.99,173,running
2.91,-1.1,11.89,75.99,151,running
1.68,-4.63,8.92,75.99,153,running
0.19,-5.97,10.63,75.87,142,running
2.12,-3.7,14.73,75.99,134,running
1.55,-1.13,9.41,75.99,140,running
3.23,-1.97,11.93,75.99,174,running
1.51,-4.04,9.84,75.99,179,running
0.67,-5.05,7.87,75.99,153,running
1.84,-2.05,9.57,75.87,140,running
1.02,-1.87,9.54,75.87,141,running
1.87,-0.7,10.63,75.99,131,running
1.61,-1.43,6.52,75.99,125,running
1.98,-2.09,9.59,75.99,122,running
0.08,-5.22,8.24,75.99,149,running
0.88,-2.71,8.89,75.99,149,running
1.14,-3.45,11.47,75.99,149,running
1.21,-1.93,9.87,75.99,0,running
3.26,-2.73,11.17,75.99,0,running
3.46,1.43,12.78,75.99,169,running
2.51,-2.7,7.93,75.99,152,running
-0.48,-3.13,8.94,75.99,152,running
0.39,-2.29,7.84,75.87,132,running
-0.81,-2.87,9.86,75.99,120,running
0.55,-3.4,12.17,75.99,115,running
2.21,-1.21,6.84,75.99,115,running
1.35,-2.33,9.23,75.99,115,running
-0.25,-4.39,9.03,75.99,0,running
0.43,-2.79,8.84,75.99,238,running
0.5,-2.54,11.03,75.99,203,running
0.92,-0.97,9.38,75.99,200,running
1.26,-3.97,8.18,75.99,164,running
2.45,1.37,11.72,75.99,151,running
0.15,-0.95,8.96,75.99,151,running
-1.55,-5.75,7.55,75.99,102,running
0.32,-1.96,8.62,75.99,102,running
-0.38,-1.27,9.72,75.99,87,running
3.53,-3.21,8.57,75.87,79,running
3.43,-1.97,12.37,75.99,76,running
3.28,-2.65,10.14,75.99,74,running
-1.52,-4.39,9.86,75.99,73,running
1.14,-2.06,9.41,75.99,77,running
1.64,-2.25,12.24,75.99,79,running
3.47,-2.3,9.54,75.99,90,running
1.95,-0.55,11.02,75.99,98,running
1.71,-4,7.86,75.99,103,running
-0.76,-2.87,8.48,75.99,113,running
0.82,-1.35,11.14,75.99,128,running
0.67,-2.48,9.24,75.99,163,running
2.64,-1.24,10.48,75.99,194,running
3.21,-1.81,8.33,75.99,207,running
1.57,-2.3,12.31,75.99,198,running
0.03,-1.98,8.33,75.99,187,running
0.68,-1.97,11.85,75.99,197,running
1.6,-0.62,10.3,75.99,181,running
3.78,-1.04,9.18,75.99,173,running
2.5,-2.11,10.45,75.99,177,running
3.49,-1.9,10.46,75.99,172,running
-0.38,-2.24,10.06,75.99,188,running
0.7,-1.31,9.13,75.99,204,running
0.92,-1.5,11.85,75.99,197,running
5.52,-1.37,11.06,75.99,200,running
1.12,-1.03,8.8,75.87,194,running
1.78,-1.75,10.05,75.87,194,running
0.16,-3.54,7.37,75.87,194,running
0.59,-2.6,9.86,75.87,0,running
1.19,-2.26,10.64,75.99,0,running
0.65,-1.79,8.59,75.99,148,running
2.39,-0.01,10.25,75.99,150,running
1.96,-2.59,9.16,75.87,148,running
3.16,-4.14,10.25,75.99,152,running
0.42,-2.2,8.17,75.99,150,running
-0.39,-4.24,10.56,75.99,163,running
2.99,-0.74,12.33,75.99,173,running
4.14,-0.92,10.03,75.99,172,running
1.35,-0.46,8.99,75.99,149,running
2.53,-2.44,8.55,75.99,139,running
1.07,-4.82,7.59,75.99,121,running
-0.03,-2.23,9.66,75.99,129,running
0.84,-0.94,9.37,75.99,123,running
1.84,-4.29,9.52,75.99,120,running
3.01,0.52,11.98,75.99,143,running
0.86,-3.67,8.72,75.99,157,running
-0.08,-5.11,11.06,75.99,161,running
-0.62,-1.46,8.61,75.99,161,running
3.15,-1.26,6.47,75.99,133,running
1.59,0.25,8.88,75.99,116,running
-2.21,-3.14,9.44,75.87,121,running
-1.1,-0.49,7.28,75.99,114,running
3.29,-0.87,11.24,75.99,114,running
1.86,-1.21,9.31,75.99,114,running
3.32,-5.06,7.81,75.99,114,running
1.87,-5.73,11.24,75.99,0,running
0.88,-3.42,11.54,75.99,79,running
3.57,-0.92,6.45,75.99,83,running
2.46,-1.51,11.78,75.99,83,running
-1.74,-4.88,9.39,75.99,75,running
-0.13,-2.65,7.44,75.99,73,running
1.16,-4.72,9.38,75.99,73,running
3.26,-3.35,10.96,75.87,75,running
3.34,-2.9,6.71,75.99,83,running
-0.27,-4.89,9.47,75.87,101,running
0.18,-2.84,9.25,75.99,130,running
4.62,-0.17,8.52,75.99,166,running
1.78,-2.41,9.36,75.87,168,running
-0.52,-5.23,9.79,75.87,164,running
2.32,-1.02,9,75.99,155,running
1.57,-2.78,10.24,75.99,152,running
2.69,-2.13,12.14,75.87,137,running
2.27,-1.25,6.25,75.99,130,running
4.1,-2.99,7.75,75.99,117,running
1.67,-3.64,11.26,75.99,115,running
-0.53,-0.68,8.5,75.87,111,running
3.52,-1.97,8.29,75.87,111,running
0.38,-1.4,6.84,75.99,111,running
1.32,-3.38,9.71,75.99,111,running
-1.2,-4.69,11.02,75.99,0,running
-1.55,-2.17,10.33,75.99,126,running
1.73,-4.21,7.17,75.99,125,running
3.96,-2.9,12.68,75.99,131,running
0.28,-1.69,7.25,75.99,113,running
-2.53,-5.31,10.86,75.99,108,running
0.05,-2.8,6.92,75.99,108,running
-0.97,-2.63,9.61,75.99,108,running
2.06,-3.2,10.73,75.99,108,running
3.26,0.1,9.51,75.87,0,running
1.79,-2.18,7.94,75.87,180,running
0.73,-3.56,8.67,75.99,180,running
1.39,-0.97,8.7,75.99,137,running
0.52,-0.29,9.83,75.87,124,running
2.17,-2.31,9.31,75.99,119,running
2.06,-0.41,9.52,75.87,119,running
2.3,-1.01,10.23,75.87,119,running
-0.72,-4.73,9.29,75.99,0,running
1.34,-2.99,12.39,75.87,0,running
-1.96,-0.24,7.96,75.99,111,running
2.48,-0.94,8.49,75.99,115,running
1.39,-1.86,11.34,75.99,115,running
2.87,-3.66,11.22,75.99,115,running
1.4,-2.78,8.83,75.99,94,running
2.35,-2.86,12.93,75.99,88,running
0.41,-2.47,8.4,75.99,88,running
0.11,-1.04,10.48,75.87,88,running
3.46,-2.08,11,75.87,88,running
0.64,-1.3,9.48,75.99,0,running
3.45,-1.65,9.44,75.99,167,running
-0.3,-3.38,9.07,75.99,159,running
-0.86,-1.77,8.12,75.99,169,running
2.88,-0.85,11.76,75.99,170,running
1.64,-2.73,10.5,75.87,167,running
0.94,-1.5,8.84,75.99,166,running
2.81,-2.01,8.76,75.99,166,running
0.86,-3.71,9.57,75.99,166,running
-1.19,-3.68,8.39,75.99,0,running
1.56,-0.9,7.44,75.87,0,running
-1.06,-1.55,9.66,75.99,89,running
2.86,-3.39,10.05,75.99,105,running
1.62,-2.89,11.43,75.99,134,running
4.24,-1.22,10.97,75.99,153,running
-1.05,-6.16,7.88,75.87,178,running
1.32,-2.66,7.71,75.99,187,running
0.01,-2.19,9.42,75.99,187,running
-0.48,-0.61,9.39,75.99,187,running
2.77,-1.66,9.21,75.87,0,running
1.06,-2.64,8.23,75.87,0,running
3.64,-4.03,10.31,75.87,116,running
-0.22,-5.49,7.78,75.87,110,running
1.56,-3.54,7.4,75.87,110,running
0.62,-1.96,9.43,75.87,102,running
1.19,-2.33,10.18,75.87,106,running
0.95,-1.23,9.05,75.99,107,running
2.49,-1.7,8.94,75.87,111,running
0.68,-4.9,8.32,75.87,96,running
0.59,-2.52,12.55,75.99,92,running
-0.29,-3.13,8.16,75.87,94,running
1.82,-2.21,7.69,75.99,91,running
1.9,-1.24,7.31,75.99,95,running
3.39,-2.51,7.83,75.99,97,running
2.19,-4.73,11.22,75.99,97,running
-1.76,-6.54,7.96,75.99,97,running
1.99,-2.86,10.55,75.87,0,running
0.47,-0.8,8.48,75.99,0,running
3.44,-1.54,9.78,75.99,0,running
0.83,-2.37,9.21,75.87,0,running
1.93,-2.41,9.52,75.87,0,running
-1.43,-5.22,7.39,75.87,0,running
0.72,-3.42,8.14,75.87,0,running
-0.08,-1.66,9.5,75.87,92,running
0.56,-1.81,8.21,75.87,101,running
2.62,-2.77,8.14,75.87,101,running
0.36,-5.27,8.21,75.87,109,running
0.2,-2,11.11,75.87,115,running
0.86,-1.97,12.21,75.87,125,running
4.36,-0.77,10.83,75.87,148,running
1,-0.89,8.6,75.87,150,running
-0.16,-7.18,8.11,75.87,156,running
1.89,-1.59,12.58,75.87,169,running
0.59,-3.5,12.93,75.87,169,running
3.82,-2.21,11.21,75.87,171,running
3.84,-3.53,10.85,75.87,171,running
-1.19,-3.26,8.68,75.87,171,running
-0.46,-1.09,7.06,75.87,123,running
2.7,-1.9,9.21,75.87,106,running
1.23,-1.29,8.23,75.87,106,running
2.3,-1.56,10.88,75.87,97,running
0.44,-4.88,7.73,75.87,95,running
2.75,-4.76,12.23,75.87,93,running
0.48,-1.95,8.75,75.87,93,running
3.09,-3.01,9.24,75.87,86,running
5.09,-2.52,11.82,75.87,136,running
1.06,-2.23,7.5,75.87,144,running
-1.89,-2.76,8.18,75.87,144,running
-0.3,-3.59,7.1,75.87,144,running
2.36,-1,8.95,75.87,0,running
3.4,-4.19,10.12,75.87,0,running
2.17,-3.06,10.38,75.87,0,running
-2.88,-4.74,9.47,75.87,0,running
1.15,-2.02,8.2,75.87,0,running
-0.55,-3.68,9.43,75.87,0,running
2.76,-0.72,7.69,75.87,97,running
0.95,-2.79,6.86,75.87,108,running
-0.1,-5.35,9.37,75.87,124,running
1.87,-3.48,10.14,75.87,131,running
1.63,-3.91,8.48,75.87,131,running
2.94,-3.63,8.94,75.87,131,running
3.46,-3.63,10.97,75.87,0,running
1.05,-3.27,7.01,75.87,0,running
-1.66,-7.02,8.52,75.87,60,running
1.41,-2.04,6.87,75.87,63,running
1.51,-2.22,8.25,75.87,65,running
4.44,-1.61,11.36,75.87,73,running
3.93,-2.51,11.38,75.87,73,running
0.31,-3.03,8.54,75.87,77,running
1.1,-1.58,9.66,75.87,91,running
1.42,-1.93,9.23,75.87,114,running
3.07,-1.97,13.55,75.87,142,running
0.62,-2.79,9.66,75.87,139,running
-0.19,-4.37,8.87,75.87,179,running
1.55,-2.38,9.39,75.87,186,running
1.41,-2.57,9.87,75.87,183,running
1.78,-3.27,11.13,75.99,183,running
3.82,-6.13,11.03,75.87,183,running
-2.12,-6.01,8.49,75.87,0,running
2.14,-1.05,8.14,75.87,183,running
-0.61,-3.07,10.24,75.87,188,running
2.03,-2.2,5.74,75.87,179,running
4.44,-1.5,13.51,75.99,183,running
1.34,-2.8,9.45,75.87,171,running
-0.14,-6.81,8.75,75.87,168,running
1.25,-2.07,8.84,75.87,160,running
-1.56,-2.57,10.43,75.87,169,running
2.32,-3.62,10.98,75.87,180,running
3.49,-2.12,11.6,75.87,191,running
2.48,-2.88,8.94,75.87,188,running
-1.51,-4.99,8.68,75.87,185,running
2.93,-1.36,7.67,75.87,181,running
-0.73,-0.77,9.68,75.87,179,running
