Accel_X,Accel_Y,Accel_Z,Amb_Temp,BPM,Batttery_Level_%,Batttery_V,Body_Temp_C,Body_Temp_F,Heart_rate,IBI,Predicted Activity,Pressure,Pressure_%,Status,Time,Volume,Volume_%
0.02,-0.25,10.12,24.69,766.0,-165.2,2.5,23.44,74.19,93.0,527.0,resting,71.2,54.64,abnormal,2023-04-11 19:11:32,0.0,0.0
0.01,-0.25,10.12,24.74,766.0,-167.76,2.47,23.5,74.3,86.0,525.0,resting,69.8,53.51,abnormal,2023-04-11 19:11:33,0.0,0.0
0.0,-0.26,10.15,24.73,766.0,-170.29,2.45,23.5,74.3,86.0,528.0,resting,71.8,55.06,abnormal,2023-04-11 19:11:34,0.0,0.0
0.01,-0.25,10.1,24.72,770.0,-165.03,2.5,23.44,74.19,86.0,527.0,resting,72.3,55.48,abnormal,2023-04-11 19:11:35,0.0,0.0
0.02,-0.25,10.15,24.77,764.0,-167.37,2.48,23.44,74.19,86.0,526.0,resting,71.4,54.78,abnormal,2023-04-11 19:11:35,0.0,0.0
0.0,-0.25,10.11,24.71,768.0,-168.6,2.47,23.44,74.19,86.0,525.0,resting,72.0,55.2,abnormal,2023-04-11 19:11:36,0.0,0.0
0.01,-0.25,10.13,24.74,766.0,-164.39,2.5,23.5,74.3,83.0,527.0,resting,74.5,57.16,abnormal,2023-04-11 19:11:37,0.0,0.0
0.0,-0.24,10.1,24.74,768.0,-166.83,2.48,23.5,74.3,78.0,526.0,resting,70.0,53.65,abnormal,2023-04-11 19:11:38,0.0,0.0
0.01,-0.25,10.13,24.73,598.0,-168.27,2.47,23.5,74.3,79.0,526.0,resting,70.5,54.07,abnormal,2023-04-11 19:11:38,0.0,0.0
0.01,-0.26,10.11,24.73,598.0,-163.47,2.51,23.5,74.3,79.0,524.0,resting,70.9,54.36,abnormal,2023-04-11 19:11:39,0.0,0.0
0.01,-0.25,10.15,24.72,906.0,-165.41,2.49,23.44,74.19,78.0,529.0,resting,69.0,52.95,abnormal,2023-04-11 19:11:40,0.0,0.0
0.01,-0.25,10.1,24.74,762.0,-165.0,2.5,23.44,74.19,78.0,526.0,resting,72.0,55.2,abnormal,2023-04-11 19:11:41,0.0,0.0
0.0,-0.26,10.13,24.73,770.0,-167.77,2.47,23.5,74.3,78.0,526.0,resting,70.9,54.36,abnormal,2023-04-11 19:11:41,0.0,0.0
0.01,-0.24,10.11,24.75,766.0,-169.2,2.46,23.44,74.19,78.0,527.0,resting,72.3,55.48,abnormal,2023-04-11 19:11:42,0.0,0.0
0.01,-0.25,10.12,24.7,766.0,-163.75,2.51,23.44,74.19,78.0,526.0,resting,72.5,55.62,abnormal,2023-04-11 19:11:43,0.0,0.0
0.02,-0.25,10.12,24.75,770.0,-166.66,2.48,23.44,74.19,78.0,527.0,resting,69.6,53.37,abnormal,2023-04-11 19:11:44,0.0,0.0
0.01,-0.25,10.13,24.71,766.0,-170.5,2.45,23.5,74.3,78.0,525.0,resting,70.5,54.07,abnormal,2023-04-11 19:11:45,0.0,0.0
0.0,-0.25,10.08,24.76,762.0,-167.21,2.48,23.5,74.3,78.0,528.0,resting,71.8,55.06,abnormal,2023-04-11 19:11:45,0.0,0.0
0.02,-0.26,10.14,24.7,762.0,-164.63,2.5,23.44,74.19,78.0,527.0,resting,68.5,52.53,abnormal,2023-04-11 19:11:46,0.0,0.0
0.01,-0.25,10.13,24.74,762.0,-161.8,2.53,23.44,74.19,78.0,527.0,resting,71.1,54.5,abnormal,2023-04-11 19:11:47,0.0,0.0
0.01,-0.24,10.12,24.75,600.0,-160.61,2.54,23.44,74.19,0.0,529.0,resting,58.8,45.09,abnormal,2023-04-11 19:11:48,0.0,0.0
0.02,-0.25,10.13,24.76,520.0,-168.22,2.47,23.5,74.3,0.0,526.0,resting,57.9,44.38,abnormal,2023-04-11 19:11:48,0.0,0.0
0.02,-0.25,10.11,24.75,736.0,-169.37,2.46,23.44,74.19,81.0,527.0,resting,65.4,50.14,abnormal,2023-04-11 19:11:49,0.0,0.0
0.02,-0.25,10.12,24.76,782.0,-169.3,2.46,23.5,74.3,81.0,525.0,resting,65.0,49.86,abnormal,2023-04-11 19:11:50,0.0,0.0
-0.0,-0.25,10.11,24.76,754.0,-169.9,2.45,23.5,74.3,80.0,525.0,resting,63.4,48.6,abnormal,2023-04-11 19:11:51,0.0,0.0
0.01,-0.25,10.16,24.76,780.0,-168.44,2.47,23.44,74.19,80.0,525.0,resting,62.8,48.18,abnormal,2023-04-11 19:11:51,0.0,0.0
0.02,-0.26,10.13,24.75,764.0,-170.64,2.45,23.44,74.19,80.0,524.0,resting,65.2,50.0,abnormal,2023-04-11 19:11:52,0.0,0.0
0.01,-0.25,10.11,24.68,766.0,-169.53,2.46,23.5,74.3,79.0,525.0,resting,63.7,48.88,abnormal,2023-04-11 19:11:53,0.0,0.0
0.01,-0.24,10.12,24.73,768.0,-171.05,2.44,23.5,74.3,79.0,525.0,resting,63.2,48.46,abnormal,2023-04-11 19:11:54,0.0,0.0
0.01,-0.24,10.12,24.75,768.0,-167.68,2.47,23.5,74.3,79.0,528.0,resting,63.2,48.46,abnormal,2023-04-11 19:11:54,0.0,0.0
0.02,-0.25,10.12,24.72,768.0,-171.21,2.44,23.5,74.3,78.0,526.0,resting,64.5,49.44,abnormal,2023-04-11 19:11:55,0.0,0.0
0.01,-0.25,10.13,24.73,766.0,-170.59,2.45,23.44,74.19,78.0,527.0,resting,64.3,49.3,abnormal,2023-04-11 19:11:56,0.0,0.0
0.01,-0.25,10.13,24.68,768.0,-166.38,2.49,23.44,74.19,78.0,527.0,resting,63.7,48.88,abnormal,2023-04-11 19:11:57,0.0,0.0
0.0,-0.26,10.12,24.75,766.0,-170.55,2.45,23.5,74.3,78.0,527.0,resting,65.4,50.14,abnormal,2023-04-11 19:11:57,0.0,0.0
0.02,-0.25,10.13,24.71,768.0,-170.12,2.45,23.5,74.3,78.0,529.0,resting,65.2,50.0,abnormal,2023-04-11 19:11:58,0.0,0.0
0.01,-0.25,10.13,24.73,756.0,-169.08,2.46,23.5,74.3,78.0,530.0,resting,64.1,49.16,abnormal,2023-04-11 19:11:59,0.0,0.0
0.01,-0.25,10.11,24.71,756.0,-165.33,2.5,23.44,74.19,78.0,527.0,resting,66.7,51.12,abnormal,2023-04-11 19:12:00,0.0,0.0
0.01,-0.25,10.13,24.72,756.0,-168.57,2.47,23.44,74.19,78.0,525.0,resting,60.8,46.63,abnormal,2023-04-11 19:12:01,0.0,0.0
0.02,-0.25,10.12,24.73,2262.0,-172.11,2.43,23.5,74.3,65.0,525.0,resting,66.5,50.98,abnormal,2023-04-11 19:12:01,0.0,0.0
0.01,-0.25,10.1,24.73,2262.0,-167.56,2.48,23.44,74.19,65.0,525.0,resting,65.2,50.0,abnormal,2023-04-11 19:12:02,0.0,0.0
0.01,-0.25,10.13,24.73,1550.0,-168.12,2.47,23.44,74.19,60.0,525.0,resting,73.4,56.32,abnormal,2023-04-11 19:12:03,0.0,0.0
0.01,-0.26,10.12,24.74,1422.0,-163.05,2.52,23.44,74.19,56.0,517.0,resting,70.3,53.93,abnormal,2023-04-11 19:12:04,0.0,0.0
0.02,-0.25,10.14,24.73,1422.0,-163.86,2.51,23.5,74.3,56.0,526.0,resting,66.8,51.27,abnormal,2023-04-11 19:12:04,0.0,0.0
0.01,-0.25,10.12,24.73,862.0,-166.74,2.48,23.44,74.19,56.0,527.0,resting,74.0,56.74,abnormal,2023-04-11 19:12:05,0.0,0.0
0.03,-0.25,10.15,24.71,734.0,-164.88,2.5,23.44,74.19,56.0,526.0,resting,73.3,56.18,abnormal,2023-04-11 19:12:06,0.0,0.0
0.0,-0.25,10.09,24.73,784.0,-166.98,2.48,23.44,74.19,56.0,527.0,resting,69.2,53.09,abnormal,2023-04-11 19:12:07,0.0,0.0
0.01,-0.24,10.15,24.74,750.0,-167.13,2.48,23.5,74.3,56.0,527.0,resting,69.8,53.51,abnormal,2023-04-11 19:12:07,0.0,0.0
0.01,-0.27,10.09,24.75,764.0,-168.0,2.47,23.5,74.3,56.0,526.0,resting,70.5,54.07,abnormal,2023-04-11 19:12:08,0.0,0.0
0.01,-0.27,10.14,24.76,764.0,-164.02,2.51,23.44,74.19,56.0,527.0,resting,67.4,51.69,abnormal,2023-04-11 19:12:09,0.0,0.0
0.02,-0.26,10.1,24.71,764.0,-162.4,2.52,23.44,74.19,56.0,525.0,resting,70.7,54.21,abnormal,2023-04-11 19:12:10,0.0,0.0
0.01,-0.25,10.1,24.75,600.0,-159.81,2.55,23.44,74.19,0.0,530.0,resting,61.4,47.05,abnormal,2023-04-11 19:12:10,0.0,0.0
0.01,-0.26,10.12,24.75,520.0,-167.77,2.47,23.44,74.19,0.0,525.0,resting,55.7,42.7,abnormal,2023-04-11 19:12:11,0.0,0.0
0.02,-0.25,10.13,24.7,748.0,-171.64,2.44,23.5,74.3,80.0,525.0,resting,63.7,48.88,abnormal,2023-04-11 19:12:12,0.0,0.0
0.01,-0.25,10.09,24.76,754.0,-170.99,2.44,23.44,74.19,80.0,525.0,resting,63.4,48.6,abnormal,2023-04-11 19:12:13,0.0,0.0
0.02,-0.26,10.11,24.72,754.0,-167.75,2.47,23.44,74.19,80.0,525.0,resting,64.8,49.72,abnormal,2023-04-11 19:12:13,0.0,0.0
0.02,-0.26,10.14,24.71,754.0,-167.01,2.48,23.44,74.19,80.0,524.0,resting,71.1,54.5,abnormal,2023-04-11 19:12:14,0.0,0.0
0.01,-0.25,10.1,24.7,2266.0,-164.45,2.5,23.44,74.19,66.0,526.0,resting,78.9,60.54,abnormal,2023-04-11 19:12:15,0.0,0.0
0.01,-0.25,10.13,24.72,2266.0,-164.25,2.51,23.5,74.3,66.0,526.0,resting,71.1,54.5,abnormal,2023-04-11 19:12:16,0.0,0.0
0.01,-0.25,10.12,24.7,1516.0,-165.81,2.49,23.5,74.3,61.0,525.0,resting,71.8,55.06,abnormal,2023-04-11 19:12:16,0.0,0.0
0.01,-0.25,10.13,24.75,1516.0,-160.55,2.54,23.44,74.19,61.0,525.0,resting,71.4,54.78,abnormal,2023-04-11 19:12:17,0.0,0.0
0.0,-0.25,10.1,24.76,1518.0,-166.17,2.49,23.44,74.19,56.0,528.0,resting,58.6,44.94,abnormal,2023-04-11 19:12:18,0.0,0.0
0.02,-0.24,10.16,24.73,1518.0,-166.55,2.48,23.44,74.19,56.0,529.0,resting,65.2,50.0,abnormal,2023-04-11 19:12:19,0.0,0.0
0.02,-0.24,10.15,24.75,1518.0,-165.99,2.49,23.5,74.3,53.0,527.0,resting,56.8,43.54,abnormal,2023-04-11 19:12:19,0.0,0.0
0.01,-0.26,10.12,24.7,1518.0,-168.39,2.47,23.5,74.3,53.0,525.0,resting,61.5,47.19,abnormal,2023-04-11 19:12:20,0.0,0.0
0.01,-0.25,10.14,24.71,1516.0,-172.47,2.43,23.5,74.3,49.0,526.0,resting,64.8,49.72,abnormal,2023-04-11 19:12:21,0.0,0.0
0.01,-0.24,10.12,24.72,1516.0,-167.31,2.48,23.5,74.3,49.0,526.0,resting,63.2,48.46,abnormal,2023-04-11 19:12:22,0.0,0.0
0.02,-0.26,10.13,24.73,1518.0,-170.72,2.45,23.44,74.19,46.0,526.0,resting,72.0,55.2,abnormal,2023-04-11 19:12:23,0.0,0.0
0.0,-0.25,10.12,24.73,1518.0,-166.11,2.49,23.44,74.19,46.0,525.0,resting,66.7,51.12,abnormal,2023-04-11 19:12:23,0.0,0.0
0.02,-0.25,10.11,24.74,1500.0,-165.6,2.49,23.44,74.19,44.0,525.0,resting,74.2,56.88,abnormal,2023-04-11 19:12:24,0.0,0.0
0.02,-0.25,10.13,24.71,1500.0,-164.81,2.5,23.5,74.3,44.0,525.0,resting,71.8,55.06,abnormal,2023-04-11 19:12:25,0.0,0.0
0.01,-0.25,10.12,24.75,1552.0,-165.28,2.5,23.5,74.3,41.0,526.0,resting,73.8,56.6,abnormal,2023-04-11 19:12:26,0.0,0.0
0.01,-0.24,10.13,24.73,1552.0,-161.18,2.53,23.5,74.3,41.0,526.0,resting,72.7,55.76,abnormal,2023-04-11 19:12:26,0.0,0.0
0.01,-0.25,10.13,24.76,1484.0,-165.58,2.49,23.5,74.3,39.0,527.0,resting,61.9,47.47,abnormal,2023-04-11 19:12:27,0.0,0.0
0.01,-0.25,10.12,24.71,1484.0,-166.76,2.48,23.5,74.3,39.0,529.0,resting,67.8,51.97,abnormal,2023-04-11 19:12:28,0.0,0.0
0.01,-0.26,10.14,24.71,1518.0,-165.84,2.49,23.44,74.19,37.0,529.0,resting,57.1,43.82,abnormal,2023-04-11 19:12:29,0.0,0.0
0.01,-0.24,10.13,24.73,1518.0,-166.79,2.48,23.44,74.19,37.0,528.0,resting,62.8,48.18,abnormal,2023-04-11 19:12:29,0.0,0.0
0.01,-0.25,10.13,24.74,1516.0,-172.4,2.43,23.5,74.3,39.0,525.0,resting,63.2,48.46,abnormal,2023-04-11 19:12:30,0.0,0.0
0.02,-0.25,10.15,24.74,1516.0,-164.77,2.5,23.5,74.3,39.0,527.0,resting,62.8,48.18,abnormal,2023-04-11 19:12:31,0.0,0.0
0.01,-0.25,10.13,24.74,1518.0,-172.82,2.43,23.5,74.3,39.0,526.0,resting,68.7,52.67,abnormal,2023-04-11 19:12:32,0.0,0.0
0.01,-0.25,10.12,24.74,1518.0,-165.92,2.49,23.5,74.3,39.0,525.0,resting,64.5,49.44,abnormal,2023-04-11 19:12:32,0.0,0.0
0.0,-0.25,10.13,24.76,1502.0,-167.54,2.48,23.44,74.19,39.0,525.0,resting,71.8,55.06,abnormal,2023-04-11 19:12:33,0.0,0.0
0.01,-0.25,10.12,24.76,1502.0,-165.97,2.49,23.5,74.3,39.0,525.0,resting,69.8,53.51,abnormal,2023-04-11 19:12:34,0.0,0.0
0.01,-0.25,10.12,24.75,1514.0,-166.92,2.48,23.5,74.3,39.0,525.0,resting,74.4,57.02,abnormal,2023-04-11 19:12:35,0.0,0.0
0.02,-0.25,10.16,24.75,1514.0,-162.35,2.52,23.5,74.3,39.0,525.0,resting,71.6,54.92,abnormal,2023-04-11 19:12:35,0.0,0.0
0.01,-0.25,10.12,24.74,1518.0,-165.94,2.49,23.5,74.3,39.0,525.0,resting,68.3,52.39,abnormal,2023-04-11 19:12:36,0.0,0.0
0.02,-0.25,10.14,24.77,1518.0,-166.99,2.48,23.5,74.3,39.0,526.0,resting,70.1,53.79,abnormal,2023-04-11 19:12:37,0.0,0.0
0.0,-0.25,10.11,24.71,1518.0,-162.79,2.52,23.5,74.3,39.0,528.0,resting,61.5,47.19,abnormal,2023-04-11 19:12:38,0.0,0.0
0.02,-0.25,10.17,24.74,1518.0,-166.05,2.49,23.44,74.19,39.0,526.0,resting,64.8,49.72,abnormal,2023-04-11 19:12:38,0.0,0.0
0.01,-0.25,10.11,24.73,1516.0,-170.41,2.45,23.5,74.3,39.0,527.0,resting,60.3,46.21,abnormal,2023-04-11 19:12:39,0.0,0.0
0.02,-0.26,10.15,24.74,910.0,-163.19,2.51,23.5,74.3,41.0,526.0,resting,62.6,48.03,abnormal,2023-04-11 19:12:40,0.0,0.0
0.01,-0.25,10.1,24.78,374.0,-170.72,2.45,23.44,74.19,47.0,529.0,resting,61.9,47.47,abnormal,2023-04-11 19:12:41,0.0,0.0
0.02,-0.25,10.15,24.77,252.0,-169.68,2.46,23.44,74.19,59.0,529.0,resting,65.6,50.28,abnormal,2023-04-11 19:12:41,0.0,0.0
0.01,-0.25,10.12,24.69,516.0,-168.98,2.46,23.5,74.3,65.0,528.0,resting,63.9,49.02,abnormal,2023-04-11 19:12:42,0.0,0.0
0.02,-0.25,10.14,24.72,460.0,-170.46,2.45,23.5,74.3,81.0,531.0,resting,67.8,51.97,abnormal,2023-04-11 19:12:43,0.0,0.0
0.01,-0.25,10.13,24.77,298.0,-168.06,2.47,23.44,74.19,98.0,528.0,resting,67.9,52.11,abnormal,2023-04-11 19:12:44,0.0,0.0
0.01,-0.25,10.12,24.76,298.0,-165.61,2.49,23.5,74.3,98.0,528.0,resting,68.5,52.53,abnormal,2023-04-11 19:12:45,0.0,0.0
0.01,-0.26,10.12,24.75,298.0,-167.04,2.48,23.44,74.19,98.0,528.0,resting,59.2,45.37,abnormal,2023-04-11 19:12:45,0.0,0.0
-0.01,-0.25,10.16,24.75,600.0,-166.07,2.49,23.5,74.3,0.0,526.0,resting,58.6,44.94,abnormal,2023-04-11 19:12:46,0.0,0.0
0.01,-0.24,10.12,24.74,524.0,-170.17,2.45,23.44,74.19,0.0,525.0,resting,67.8,51.97,abnormal,2023-04-11 19:12:47,0.0,0.0
0.02,-0.24,10.14,24.68,750.0,-167.84,2.47,23.44,74.19,80.0,524.0,resting,71.4,54.78,abnormal,2023-04-11 19:12:48,0.0,0.0
0.03,-0.25,10.15,24.72,748.0,-169.46,2.46,23.44,74.19,80.0,526.0,resting,68.7,52.67,abnormal,2023-04-11 19:12:48,0.0,0.0
0.01,-0.25,10.11,24.77,748.0,-165.98,2.49,23.44,74.19,80.0,524.0,resting,65.2,50.0,abnormal,2023-04-11 19:12:49,0.0,0.0
0.01,-0.25,10.15,24.75,748.0,-164.81,2.5,23.44,74.19,80.0,526.0,resting,72.5,55.62,abnormal,2023-04-11 19:12:50,0.0,0.0
0.01,-0.25,10.13,24.78,600.0,-159.69,2.55,23.5,74.3,0.0,526.0,resting,73.6,56.46,abnormal,2023-04-11 19:12:51,0.0,0.0
0.01,-0.25,10.12,24.73,516.0,-163.71,2.51,23.44,74.19,0.0,528.0,resting,60.8,46.63,abnormal,2023-04-11 19:12:51,0.0,0.0
0.01,-0.26,10.13,24.76,752.0,-170.39,2.45,23.44,74.19,79.0,529.0,resting,57.3,43.96,abnormal,2023-04-11 19:12:52,0.0,0.0
0.01,-0.25,10.13,24.77,762.0,-166.74,2.48,23.44,74.19,79.0,527.0,resting,63.2,48.46,abnormal,2023-04-11 19:12:53,0.0,0.0
0.02,-0.25,10.14,24.76,660.0,-169.15,2.46,23.44,74.19,80.0,519.0,resting,65.0,49.86,abnormal,2023-04-11 19:12:54,0.0,0.0
0.02,-0.25,10.13,24.78,660.0,-166.91,2.48,23.44,74.19,80.0,528.0,resting,67.8,51.97,abnormal,2023-04-11 19:12:54,0.0,0.0
0.02,-0.25,10.13,24.77,838.0,-166.61,2.48,23.44,74.19,79.0,527.0,resting,59.0,45.23,abnormal,2023-04-11 19:12:55,0.0,0.0
0.01,-0.25,10.12,24.75,460.0,-170.48,2.45,23.44,74.19,82.0,528.0,resting,62.5,47.89,abnormal,2023-04-11 19:12:56,0.0,0.0
0.01,-0.25,10.14,24.71,304.0,-169.05,2.46,23.44,74.19,87.0,526.0,resting,64.5,49.44,abnormal,2023-04-11 19:12:57,0.0,0.0
0.01,-0.26,10.13,24.73,766.0,-165.48,2.49,23.44,74.19,87.0,529.0,resting,65.2,50.0,abnormal,2023-04-11 19:12:57,0.0,0.0
0.01,-0.26,10.14,24.74,460.0,-170.43,2.45,23.44,74.19,91.0,528.0,resting,66.1,50.7,abnormal,2023-04-11 19:12:58,0.0,0.0
0.01,-0.25,10.13,24.73,308.0,-163.83,2.51,23.44,74.19,98.0,529.0,resting,67.2,51.55,abnormal,2023-04-11 19:12:59,0.0,0.0
0.01,-0.26,10.13,24.71,460.0,-169.54,2.46,23.44,74.19,101.0,529.0,resting,64.7,49.58,abnormal,2023-04-11 19:13:00,0.0,0.0
0.01,-0.25,10.12,24.76,306.0,-167.73,2.47,23.44,74.19,111.0,529.0,resting,69.4,53.23,abnormal,2023-04-11 19:13:00,0.0,0.0
0.0,-0.25,10.11,24.73,764.0,-164.84,2.5,23.44,74.19,111.0,528.0,resting,70.7,54.21,abnormal,2023-04-11 19:13:01,0.0,0.0
